,ENTERTAINMENTRATING,FOODRATING,GROUNDSERVICERATING,OVERALLSCORE,SEATCOMFORTRATING,SERVICERATING,PURPOSE,VALUERATING,WIFIRATING,LONGDISTANCE,YEAR,AIRLINE
60,0.59,1.47,1.41,2.29,2.24,2.35,0.94,1.59,0.18,0.35,2021.65,Air Tanzania
61,2.08,1.97,2.4,3.92,2.36,2.83,0.94,2.48,0.66,0.75,2017.94,Air Transat
62,0.45,1.18,1.55,2.59,1.95,1.82,0.95,1.82,0.27,0.32,2019.27,Air Vanuatu
63,1.0,2.8,2.4,4.6,2.4,3.2,1.0,2.0,0.4,0.6,2016.6,Air Zimbabwe
64,0.23,1.17,2.23,3.87,2.18,2.51,0.92,2.65,0.21,0.18,2018.54,AirAsia
65,0.26,1.13,2.24,3.97,2.3,2.56,0.84,2.42,0.16,0.16,2019.63,AirAsia India
66,0.1,0.62,1.57,2.78,1.88,2.11,0.89,2.15,0.1,0.1,2019.35,AirAsia Philippines
67,0.44,2.33,2.89,5.57,2.76,3.09,0.94,3.45,0.14,0.24,2017.72,AirAsia X
68,0.0,0.5,3.0,5.83,3.5,3.83,1.0,3.67,0.0,0.0,2015.17,AirAsia Zest
69,0.0,0.0,4.5,8.5,3.5,4.5,1.0,4.0,0.0,0.0,2019.0,AirSWIFT
70,1.67,2.89,3.06,6.06,2.94,3.5,0.94,3.5,1.17,0.5,2017.44,Aircalin
71,0.26,2.42,2.65,5.42,2.91,3.19,0.84,2.93,0.14,0.16,2020.91,Airlink
72,0.0,2.13,3.07,5.33,3.0,3.33,0.73,2.73,0.0,0.0,2018.93,Airnorth
73,0.64,1.48,3.33,6.09,3.36,3.61,0.73,3.42,0.58,0.33,2022.64,Akasa Air
74,1.35,1.72,2.23,3.76,2.39,2.54,0.83,2.27,1.25,0.54,2019.18,Alaska Airlines
75,1.3,2.18,2.45,4.2,2.62,2.56,0.85,2.61,0.41,0.54,2017.04,Alitalia
76,0.34,0.77,1.65,2.29,1.64,1.93,0.94,1.78,0.33,0.29,2018.79,Allegiant Air
77,0.24,0.48,1.67,2.95,1.95,1.62,0.67,2.0,0.24,0.24,2022.24,Alliance Air
78,0.4,0.8,1.6,2.2,1.2,2.2,0.8,1.6,0.2,0.4,2020.4,Alliance Airlines
